Gender,Age,Time,Event,Year
M,17,27.50,e2,2018
M,41,28.09,e2,2018
M,32,28.37,e2,2018
M,11,29.27,e2,2018
M,11,29.41,e2,2018
M,48,29.47,e2,2018
M,58,29.56,e2,2018
M,32,30.00,e2,2018
M,26,30.19,e2,2018
M,39,30.37,e2,2018
M,11,30.53,e2,2018
M,11,31.18,e2,2018
M,61,31.29,e2,2018
M,44,32.05,e2,2018
M,63,32.14,e2,2018
M,46,32.18,e2,2018
M,28,32.26,e2,2018
M,32,32.56,e2,2018
M,12,33.04,e2,2018
M,35,33.17,e2,2018
M,16,33.33,e2,2018
M,45,33.46,e2,2018
M,29,33.51,e2,2018
M,11,34.10,e2,2018
M,35,34.18,e2,2018
M,31,34.21,e2,2018
M,36,34.29,e2,2018
M,11,34.30,e2,2018
M,36,34.34,e2,2018
M,38,34.56,e2,2018
M,12,35.34,e2,2018
M,35,35.38,e2,2018
M,32,35.43,e2,2018
M,35,36.01,e2,2018
M,42,36.12,e2,2018
M,16,36.23,e2,2018
M,45,36.26,e2,2018
M,36,36.31,e2,2018
M,45,36.33,e2,2018
M,92,36.35,e2,2018
M,20,36.38,e2,2018
M,48,36.44,e2,2018
M,16,36.50,e2,2018
M,13,36.55,e2,2018
M,39,36.57,e2,2018
M,45,36.59,e2,2018
M,27,37.02,e2,2018
M,38,37.06,e2,2018
M,29,37.23,e2,2018
M,49,37.29,e2,2018
M,31,37.35,e2,2018
M,13,37.37,e2,2018
M,53,37.40,e2,2018
M,54,37.43,e2,2018
M,12,38.02,e2,2018
M,14,38.05,e2,2018
M,21,38.32,e2,2018
M,48,38.50,e2,2018
M,62,38.53,e2,2018
M,12,39.02,e2,2018
M,27,39.18,e2,2018
M,11,40.14,e2,2018
M,23,40.27,e2,2018
M,26,40.31,e2,2018
M,50,41.04,e2,2018
M,19,41.44,e2,2018
M,22,41.57,e2,2018
M,31,42.02,e2,2018
M,51,42.14,e2,2018
M,36,42.33,e2,2018
M,33,42.46,e2,2018
M,38,43.06,e2,2018
M,51,43.12,e2,2018
M,63,43.15,e2,2018
M,48,43.39,e2,2018
M,12,43.50,e2,2018
M,59,44.22,e2,2018
M,10,44.25,e2,2018
M,48,44.52,e2,2018
M,12,45.01,e2,2018
M,37,45.19,e2,2018
M,12,45.33,e2,2018
M,32,45.37,e2,2018
M,17,46.13,e2,2018
M,41,46.42,e2,2018
M,42,46.56,e2,2018
M,12,47.13,e2,2018
M,45,47.35,e2,2018
M,19,47.40,e2,2018
M,27,51.00,e2,2018
M,24,51.52,e2,2018
M,47,24.06,e2,2019
M,50,24.27,e2,2019
M,13,24.36,e2,2019
M,12,25.05,e2,2019
M,56,26.01,e2,2019
M,43,26.04,e2,2019
M,13,26.25,e2,2019
M,46,26.39,e2,2019
M,12,26.41,e2,2019
M,10,26.43,e2,2019
M,50,26.54,e2,2019
M,12,27.03,e2,2019
M,13,27.15,e2,2019
M,13,27.35,e2,2019
M,33,27.43,e2,2019
M,33,27.53,e2,2019
M,42,27.56,e2,2019
M,47,28.20,e2,2019
M,46,28.49,e2,2019
M,37,28.52,e2,2019
M,32,29.12,e2,2019
M,46,30.13,e2,2019
M,58,30.16,e2,2019
M,36,30.19,e2,2019
M,50,30.23,e2,2019
M,50,30.36,e2,2019
M,32,30.48,e2,2019
M,46,30.59,e2,2019
M,32,31.09,e2,2019
M,61,31.25,e2,2019
M,33,31.28,e2,2019
M,59,31.41,e2,2019
M,45,31.51,e2,2019
M,38,32.08,e2,2019
M,15,32.15,e2,2019
M,43,32.18,e2,2019
M,47,32.21,e2,2019
M,12,32.23,e2,2019
M,11,32.35,e2,2019
M,39,32.38,e2,2019
M,32,32.41,e2,2019
M,36,32.46,e2,2019
M,31,32.56,e2,2019
M,31,32.58,e2,2019
M,34,33.00,e2,2019
M,60,33.24,e2,2019
M,33,33.34,e2,2019
M,52,33.38,e2,2019
M,13,34.02,e2,2019
M,9,34.18,e2,2019
M,12,34.19,e2,2019
M,45,34.43,e2,2019
M,52,35.01,e2,2019
M,28,35.03,e2,2019
M,64,35.06,e2,2019
M,9,35.40,e2,2019
M,57,35.52,e2,2019
M,9,35.55,e2,2019
M,55,35.59,e2,2019
M,42,36.01,e2,2019
M,44,36.04,e2,2019
M,48,36.07,e2,2019
M,12,36.09,e2,2019
M,33,36.11,e2,2019
M,51,36.32,e2,2019
M,46,36.41,e2,2019
M,44,36.43,e2,2019
M,13,36.50,e2,2019
M,63,37.07,e2,2019
M,30,37.12,e2,2019
M,36,37.19,e2,2019
M,46,37.35,e2,2019
M,47,38.03,e2,2019
M,50,38.05,e2,2019
M,43,38.11,e2,2019
M,49,38.24,e2,2019
F,49,38.26,e2,2019
M,35,38.29,e2,2019
M,32,38.53,e2,2019
M,12,39.00,e2,2019
M,40,39.13,e2,2019
M,50,39.30,e2,2019
M,12,39.41,e2,2019
M,12,39.51,e2,2019
F,21,40.02,e2,2019
M,13,40.07,e2,2019
M,33,40.12,e2,2019
M,36,40.25,e2,2019
M,36,40.35,e2,2019
M,12,40.51,e2,2019
M,34,40.54,e2,2019
M,11,41.15,e2,2019
M,40,41.17,e2,2019
M,44,41.42,e2,2019
M,50,41.58,e2,2019
M,54,42.11,e2,2019
M,51,42.13,e2,2019
M,59,42.25,e2,2019
M,14,42.35,e2,2019
M,50,42.38,e2,2019
M,62,43.18,e2,2019
M,64,43.36,e2,2019
M,13,43.46,e2,2019
M,12,43.52,e2,2019
M,32,43.58,e2,2019
M,59,44.06,e2,2019
M,36,44.35,e2,2019
M,69,44.41,e2,2019
M,46,45.03,e2,2019
M,35,45.35,e2,2019
F,45,45.48,e2,2019
M,62,45.54,e2,2019
M,45,46.32,e2,2019
M,52,47.10,e2,2019
M,42,47.16,e2,2019
M,65,47.29,e2,2019
M,30,47.39,e2,2019
M,36,48.38,e2,2019
M,42,48.56,e2,2019
M,54,49.20,e2,2019
M,10,49.44,e2,2019
F,46,49.47,e2,2019
M,35,51.01,e2,2019
M,48,52.20,e2,2019
F,35,24.19,e1,2016
F,12,27.05,e1,2016
M,11,35.13,e1,2016
F,23,41.11,e1,2016
F,31,26.58,e1,2016
F,13,28.48,e1,2016
M,9,42.00,e1,2016
F,24,43.18,e1,2016
F,13,29.12,e1,2016
F,43,29.39,e1,2016
M,44,42.02,e1,2016
F,13,29.30,e1,2016
F,38,30.34,e1,2016
F,13,30.21,e1,2016
F,37,30.56,e1,2016
F,45,31.44,e1,2016
F,12,32.48,e1,2016
F,49,31.49,e1,2016
F,11,34.26,e1,2016
F,43,32.59,e1,2016
F,11,34.29,e1,2016
F,50,33.10,e1,2016
F,10,35.53,e1,2016
F,53,33.36,e1,2016
